date,year,month,month_name,admin1,governorate,gov_pcode,event_type,events,fatalities
2017-08-01,2017,8,August,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-08-01,2017,8,August,West Bank,Salfit,PS0125,political_violence,0,0
2017-08-01,2017,8,August,West Bank,Nablus,PS0115,political_violence,6,2
2017-08-01,2017,8,August,West Bank,Ramallah and Al Bireh,PS0130,political_violence,11,0
2017-08-01,2017,8,August,West Bank,Bethlehem,PS0145,political_violence,5,1
2017-08-01,2017,8,August,West Bank,Al Quds,PS0140,political_violence,9,0
2017-08-01,2017,8,August,West Bank,Hebron,PS0150,political_violence,7,0
2017-08-01,2017,8,August,West Bank,Tulkarm,PS0110,political_violence,0,0
2017-08-01,2017,8,August,West Bank,Tubas,PS0105,political_violence,0,0
2017-09-01,2017,9,September,West Bank,Jenin,PS0101,political_violence,2,0
2017-09-01,2017,9,September,West Bank,Jericho,PS0135,political_violence,0,0
2017-09-01,2017,9,September,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-09-01,2017,9,September,West Bank,Salfit,PS0125,political_violence,0,0
2017-09-01,2017,9,September,West Bank,Nablus,PS0115,political_violence,10,0
2017-09-01,2017,9,September,West Bank,Ramallah and Al Bireh,PS0130,political_violence,4,0
2017-09-01,2017,9,September,West Bank,Bethlehem,PS0145,political_violence,6,0
2017-09-01,2017,9,September,West Bank,Al Quds,PS0140,political_violence,8,4
2017-09-01,2017,9,September,West Bank,Hebron,PS0150,political_violence,14,0
2017-09-01,2017,9,September,West Bank,Tulkarm,PS0110,political_violence,2,0
2017-09-01,2017,9,September,West Bank,Tubas,PS0105,political_violence,2,0
2017-10-01,2017,10,October,West Bank,Jenin,PS0101,political_violence,5,0
2017-10-01,2017,10,October,West Bank,Jericho,PS0135,political_violence,0,0
2017-10-01,2017,10,October,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-10-01,2017,10,October,West Bank,Salfit,PS0125,political_violence,0,0
2017-10-01,2017,10,October,West Bank,Nablus,PS0115,political_violence,7,0
2017-10-01,2017,10,October,West Bank,Ramallah and Al Bireh,PS0130,political_violence,3,1
2017-10-01,2017,10,October,West Bank,Bethlehem,PS0145,political_violence,4,0
2017-10-01,2017,10,October,West Bank,Al Quds,PS0140,political_violence,7,0
2017-10-01,2017,10,October,West Bank,Hebron,PS0150,political_violence,12,0
2017-10-01,2017,10,October,West Bank,Tulkarm,PS0110,political_violence,0,0
2017-10-01,2017,10,October,West Bank,Tubas,PS0105,political_violence,0,0
2017-11-01,2017,11,November,West Bank,Jenin,PS0101,political_violence,0,0
2017-11-01,2017,11,November,West Bank,Jericho,PS0135,political_violence,0,0
2017-11-01,2017,11,November,West Bank,Qalqilya,PS0120,political_violence,2,0
2017-11-01,2017,11,November,West Bank,Salfit,PS0125,political_violence,0,0
2017-11-01,2017,11,November,West Bank,Nablus,PS0115,political_violence,9,1
2017-11-01,2017,11,November,West Bank,Ramallah and Al Bireh,PS0130,political_violence,1,0
2017-11-01,2017,11,November,West Bank,Bethlehem,PS0145,political_violence,4,0
2017-11-01,2017,11,November,West Bank,Al Quds,PS0140,political_violence,4,0
2017-11-01,2017,11,November,West Bank,Hebron,PS0150,political_violence,6,0
2017-11-01,2017,11,November,West Bank,Tulkarm,PS0110,political_violence,0,0
2017-11-01,2017,11,November,West Bank,Tubas,PS0105,political_violence,1,0
2017-12-01,2017,12,December,West Bank,Jenin,PS0101,political_violence,6,0
2017-12-01,2017,12,December,West Bank,Jericho,PS0135,political_violence,4,1
2017-12-01,2017,12,December,West Bank,Qalqilya,PS0120,political_violence,9,0
2017-12-01,2017,12,December,West Bank,Salfit,PS0125,political_violence,7,0
2017-12-01,2017,12,December,West Bank,Nablus,PS0115,political_violence,33,0
2017-12-01,2017,12,December,West Bank,Ramallah and Al Bireh,PS0130,political_violence,25,1
2017-12-01,2017,12,December,West Bank,Bethlehem,PS0145,political_violence,8,0
2017-12-01,2017,12,December,West Bank,Al Quds,PS0140,political_violence,32,0
2017-12-01,2017,12,December,West Bank,Hebron,PS0150,political_violence,29,0
2017-12-01,2017,12,December,West Bank,Tulkarm,PS0110,political_violence,3,0
2017-12-01,2017,12,December,West Bank,Tubas,PS0105,political_violence,1,0
2018-01-01,2018,1,January,West Bank,Jenin,PS0101,political_violence,19,2
